model_id,hidden_size,num_layers,num_attention_heads,num_kv_heads,mlp_size,activation,norm_type,position_encoding,context_length,vocab_size,moe_details,head_dim,kv_group_size,rope_theta,tie_word_embeddings,params_billions_approx,source
meta-llama/Llama-3.1-8B-Instruct,4096,32,32,8,14336,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE + llama3 scaling,131072,128256,NA,128,4,500000.0,False,8.03,config.json (HF Hub)
mistralai/Mistral-7B-Instruct-v0.3,4096,32,32,8,14336,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,32768,32768,NA,128,4,1000000.0,False,7.25,config.json (HF Hub)
Qwen/Qwen2.5-7B-Instruct,3584,28,28,4,18944,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,32768,152064,NA,128,7,1000000.0,False,7.62,config.json (HF Hub)
allenai/OLMo-2-1124-7B-Instruct,4096,32,32,32,11008,silu (SwiGLU gated MLP),post-norm / reordered (RMSNorm after attn and MLP) + QK-norm,RoPE,4096,100352,NA,128,1,500000,False,7.3,config.json (HF Hub)
ibm-granite/granite-3.3-8b-instruct,4096,40,32,8,12800,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,131072,49159,NA,128,4,10000000.0,True,8.17,config.json (HF Hub)
deepseek-ai/DeepSeek-V3,7168,61,128,128,18432,silu (SwiGLU gated MLP),pre-norm (RMSNorm),decoupled RoPE (applied to qk_rope_head_dim only) + yarn scaling,163840,129280,"routed_experts=256; shared_experts=1; experts_per_token=8; expert_intermediate=2048; first_k_dense=3; scoring=sigmoid; attention=MLA(kv_lora_rank=512,q_lora_rank=1536,qk_rope=64,qk_nope=128,v_head=128)","MLA qk=192, v=128",1,10000,False,NA,config.json (HF Hub)
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,24,32,32,8192,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,8192,49152,NA,64,1,130000,True,1.71,config.json (HF Hub)
microsoft/Phi-4-mini-instruct,3072,32,24,8,8192,silu (SwiGLU gated MLP),pre-norm (RMSNorm),"RoPE (partial, rotary_factor=0.75) + longrope scaling",131072,200064,NA,128,3,10000.0,True,3.84,config.json (HF Hub)
tiiuae/Falcon3-7B-Instruct,3072,28,12,4,23040,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,32768,131072,NA,256,3,1000042,False,7.46,config.json (HF Hub)
dicta-il/dictalm2.0-instruct,4096,32,32,8,14336,silu (SwiGLU gated MLP),pre-norm (RMSNorm),RoPE,32768,33152,NA,128,4,10000.0,False,7.25,config.json (HF Hub)
