model_id,tokenizer_type,vocab_size,special_tokens,word_boundary_strategy,byte_fallback_or_byte_level,avg_tokens_per_english_word,avg_tokens_per_hebrew_word,tokenizer_backend
meta-llama/Llama-3.1-8B-Instruct,byte_level BPE,128256,"256 special/added; e.g. <|begin_of_text|>, <|eot_id|>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.208,5.88,TokenizersBackend
mistralai/Mistral-7B-Instruct-v0.3,sentencepiece BPE,32768,"771 special/added; e.g. <s>, </s>, <unk>",SentencePiece: a leading space is the meta symbol '▁' (U+2581); detokenizing concatenates pieces and replaces '▁' with a space,SentencePiece with byte fallback (<0xNN>),1.347,6.042,TokenizersBackend
Qwen/Qwen2.5-7B-Instruct,byte_level BPE,151665,"22 special/added; e.g. <|im_end|>, <|endoftext|>, <|im_start|>, <|object_ref_start|>, <|object_ref_end|>, <|box_start|>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.249,2.401,Qwen2Tokenizer
allenai/OLMo-2-1124-7B-Instruct,byte_level BPE,100278,"22 special/added; e.g. <|endoftext|>, <|pad|>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.209,5.881,GPT2Tokenizer
ibm-granite/granite-3.3-8b-instruct,byte_level BPE,49159,26 special/added; e.g. <|end_of_text|>,"byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.463,5.24,TokenizersBackend
deepseek-ai/DeepSeek-V3,byte_level BPE,128815,"818 special/added; e.g. <｜begin▁of▁sentence｜>, <｜end▁of▁sentence｜>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.204,2.783,TokenizersBackend
HuggingFaceTB/SmolLM2-1.7B-Instruct,byte_level BPE,49152,"17 special/added; e.g. <|im_start|>, <|im_end|>, <|endoftext|>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.26,6.538,GPT2Tokenizer
microsoft/Phi-4-mini-instruct,byte_level BPE,200029,12 special/added; e.g. <|endoftext|>,"byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.201,2.355,TokenizersBackend
tiiuae/Falcon3-7B-Instruct,byte_level BPE,131072,"2024 special/added; e.g. <|endoftext|>, <|pad|>","byte-level BPE: a leading space is encoded as the meta byte 'Ġ' (U+0120); tokens with no 'Ġ' continue the previous word, so detokenizing concatenates byte strings and maps them back to bytes",byte-level (full 256-byte alphabet),1.37,5.241,TokenizersBackend
dicta-il/dictalm2.0-instruct,sentencepiece BPE,33152,"3 special/added; e.g. <s>, </s>, <unk>",SentencePiece: a leading space is the meta symbol '▁' (U+2581); detokenizing concatenates pieces and replaces '▁' with a space,SentencePiece with byte fallback (<0xNN>),1.356,2.723,TokenizersBackend
