model_id,tokenizer_type,vocab_size,special_tokens,word_boundary_strategy,byte_fallback_or_byte_level,avg_tokens_per_english_word,avg_tokens_per_hebrew_word
meta-llama/Llama-3.1-8B-Instruct,PreTrainedTokenizerFast,128000,bos_token='<|begin_of_text|>'; eos_token='<|eot_id|>',byte-level whitespace marker,byte_level=True,NA,NA
mistralai/Mistral-7B-Instruct-v0.3,LlamaTokenizerFast,32768,unk_token='<unk>'; bos_token='<s>'; eos_token='</s>',sentencepiece whitespace marker,byte_level=False,NA,NA
Qwen/Qwen2.5-7B-Instruct,Qwen2TokenizerFast,151643,"eos_token='<|im_end|>'; pad_token='<|endoftext|>'; additional_special_tokens=['<|im_start|>', '<|im_end|>', '<|object_ref_start|>', '<|object_ref_end|>', '<|box_start|>', '<|box_end|>', '<|quad_start|>', '<|quad_end|>', '<|vision_start|>', '<|vision_end|>', '<|vision_pad|>', '<|image_pad|>', '<|video_pad|>']",byte-level whitespace marker,byte_level=True,NA,NA
allenai/OLMo-2-1124-7B-Instruct,GPT2TokenizerFast,100278,unk_token='<|endoftext|>'; bos_token='<|endoftext|>'; eos_token='<|endoftext|>'; pad_token='<|pad|>',byte-level whitespace marker,byte_level=True,NA,NA
ibm-granite/granite-3.3-8b-instruct,GPT2TokenizerFast,49152,"unk_token='<|end_of_text|>'; bos_token='<|end_of_text|>'; eos_token='<|end_of_text|>'; pad_token='<|end_of_text|>'; additional_special_tokens=['<|start_of_role|>', '<|end_of_role|>', '<|tool_call|>', '<|start_of_cite|>', '<|end_of_cite|>', '<|start_of_plugin|>', '<|end_of_plugin|>']",byte-level whitespace marker,byte_level=True,NA,NA
deepseek-ai/DeepSeek-V3,LlamaTokenizerFast,128000,bos_token='<｜begin▁of▁sentence｜>'; eos_token='<｜end▁of▁sentence｜>'; pad_token='<｜end▁of▁sentence｜>',byte-level whitespace marker,byte_level=True,NA,NA
HuggingFaceTB/SmolLM2-1.7B-Instruct,GPT2TokenizerFast,49152,"unk_token='<|endoftext|>'; bos_token='<|im_start|>'; eos_token='<|im_end|>'; pad_token='<|im_end|>'; additional_special_tokens=['<|im_start|>', '<|im_end|>']",byte-level whitespace marker,byte_level=True,NA,NA
microsoft/Phi-4-mini-instruct,GPT2TokenizerFast,200019,unk_token='<|endoftext|>'; bos_token='<|endoftext|>'; eos_token='<|endoftext|>'; pad_token='<|endoftext|>',byte-level whitespace marker,byte_level=True,NA,NA
tiiuae/Falcon3-7B-Instruct,PreTrainedTokenizerFast,131072,"eos_token='<|endoftext|>'; pad_token='<|pad|>'; additional_special_tokens=['>>TITLE<<', '>>ABSTRACT<<', '>>INTRODUCTION<<', '>>SUMMARY<<', '>>COMMENT<<', '>>ANSWER<<', '>>QUESTION<<', '>>DOMAIN<<', '>>EMAIL_ADDRESS<<', '>>IP_ADDRESS<<', '<|startoftext|>', '>>IP_ADDRESS_0<<', '>>IP_ADDRESS_1<<', '>>IP_ADDRESS_2<<', '>>IP_ADDRESS_3<<', '>>IP_ADDRESS_4<<', '>>IP_ADDRESS_5<<', '>>IP_ADDRESS_6<<', '>>IP_ADDRESS_7<<', '>>IP_ADDRESS_8<<', '>>IP_ADDRESS_9<<', '>>PASSWORD<<', '>>KEY<<']",byte-level whitespace marker,byte_level=True,NA,NA
dicta-il/dictalm2.0-instruct,LlamaTokenizerFast,33152,unk_token='<unk>'; bos_token='<s>'; eos_token='</s>',sentencepiece whitespace marker,byte_level=False,NA,NA
